Имя ,Значение,
Абга,волк,
Абрагь,арбек,
Абрскил,герой,
Адгур,сильный защитник,
Алхас,особый,
Анос,друг,
Анри,мужественный,
Аслан,лев,
Астамур,настоящее железо,
Ахра,скала,
Баграт,дар Бога,
Батал,герой,
Башнух,добросердечный,
Беслан,крепкий,
Бжаюа-Бжадза,влажный,
Бзоу,хороший,
Георгий,земледелец,
Гуатей,беспокойный,
Гудиса,жестокий,
Давид,любимый,
Дамир,железный,
Даур,любимый,
Джамал,красивый,
Джансух,крепкая душа,
Джесиб,вызывающий,
Едги,адыгеец,
Едыгя,адыгеец,
Езыгу,от названия сарматского племени языгов,
Жабаль,заяц-самец,
Заур,знаменитый,
Иаткьар,напамять,
Инал,сын царя,
Каимет,судный день,
Карач,карачаевец,
Константине,постоянный,
Кудж,волк,
Лаша, светлый,
Мард,из древнеиранского племени мардов,
Мизан, весы,
Мкан,имеющий здоровье,
Мурат,желанный,
Мшвагу,бесстрашное сердце,
Мышв,медведь,
Нага,достойный,
Наюей,ногаец,
Ноуруз,праздник весны,
Нури,светлый,
Ратмир,воин,
Ростом,богатырь,
Руслан,лев,
Саид,господин,
Сандро,защитник людей,
Татащ,павлин,
Теймур,железный,
Теймураз,-,
Тимур,железный,
Уазамат,от названия сарматского или меотского племени язаматов,
Урыс,русский,
Хаджарат,могущественный воин,
Хырзаман,конец света,
Чачан,чеченец,
Чинча,крапива,
Шармат,из древнеосетинского племени сарматов,
Швамахь,армянин,
Шваныуа,горный ходок,
Шварах,дичь,
Шьабаз,Шахский сокол,
Шьабат,шах,
Шьрын,сладкий,
Энвер,красивый,
Абзагу,живое сердце,
Адгур,большое сердце,
Аджир,жеребец,
Аиэт,морской бог,
Алхуз,охотник,
Амат,змея,
Амза,луна,
Амра,солнце,
Асида,львица,
Ахра,скала,
Аша,горькая,
Башнух,доброесердце,
Бзоу,хороший,
Бранып,жена Ампара,
Гаущакан,божественная,
Гудиса,грубое сердце,
Гумала,покладистая,
Гунда,красивая,
Гызмал,хитрец,
Даур,пахарь,
Заур,знаменитый,
Зимана,хорошая,
Мзауч,сбивающий луну,
Мзахуа,лунный сын,
Мрамза,солнце-луна,
Мышу,медведь,
Наала,добрая,
Назира,предостерегающая,
Саида,госпожа,
Сария,родник,
Ханифа,праведная,
Хапш,рыжий,
Химца,золотой огонь,
Хифа,золотом насыщенная,
Хуабаба,пушистая голова,
Хуапашу,белоголовый,
Хьфаф,златоежка,
Шьахусна,повелительница красивых,
Щазина,повелительница сокровищ,
Эсма,возвышенная,
Аббас,хмурый,
Абдул,раб Аллаха,
Абдулла,раб Аллаха,
Абдулхамид,раб Славного,
Абдуррахман,раб Милостивого,
Абид,молящийся,
Ага,господин,
Агахан,высокий правитель,
Агиль,умный,
Агшин,сильный,
Адем,первый пророк,
Адиль,справедливый,
Аднан,учредитель,
Адыгёзял,красивое имя,
Азад,свободный,
Азер,огонь,
Азиз,могучий,
Азим,величайший,
Айдын,ясный,
Акиф,трудолюбивый,
Акрам,наищедрейший,
Акшин,сильный,
Али,высший,
Алим,ученый,
Алпан,храбрец,
Алтай,золота ягора,
Алтун,золото,
Алхан,великий хан,
Алы,яркий,
Амал,цель,
Амиль,правитель,
Амин,надежный,
Амир,правитель,
Амрулла,воля Божья,
Анан,вспоминающий,
Анар,гранат,
Анвар,дающий миру,
Араз,счастье,
Аран,выдержанный,
